;Body,剛体名,剛体名(英),関連ボーン名,剛体タイプ(0:Bone/1:物理演算/2:物理演算+ボーン追従),グループ(0~15),非衝突グループ文字列(ex:1 2 3 4),形状(0:球/1:箱/2:カプセル),サイズ_x,サイズ_y,サイズ_z,位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],質量,移動減衰,回転減衰,反発力,摩擦力
;Body,剛体名,剛体名(英),関連ボーン名,剛体タイプ(0:Bone/1:物理演算/2:物理演算+ボーン追従),グループ(0~15),非衝突グループ文字列(ex:1 2 3 4),形状(0:球/1:箱/2:カプセル),サイズ_x,サイズ_y,サイズ_z,位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],質量,移動減衰,回転減衰,反発力,摩擦力
Body,"スカート","Skirt_0_1","",1,13,8 13 14 ,1,0.08709636,0.5169067,0.25,0.5886403,11.95422,-1.447331,-14.04689,161.7021,-4.400453E-07,0.01,0.9,0.9,0,0
Body,"スカート1","Skirt_0_3","",1,13,8 13 14 ,1,0.08709636,0.5431966,0.25,1.421103,11.95422,-0.7634454,-22.4489,117.4226,-9.237771E-07,0.01,0.9,0.9,0,0
Body,"スカート2","Skirt_0_5","",1,13,8 13 14 ,1,0.08709636,0.5513034,0.25,1.421103,11.95422,0.2903377,-25.1446,63.3751,-9.431479E-07,0.01,0.9,0.9,0,0
Body,"スカート3","Skirt_0_7","",1,13,8 13 14 ,1,0.08709636,0.5647182,0.25,0.5886401,11.95422,1.096726,-27.904,18.8936,0,0.01,0.9,0.9,0,0
Body,"スカート4","Skirt_0_9","",1,13,8 13 14 ,1,0.08709636,0.5647183,0.25,-0.5886403,11.95422,1.096726,-27.904,-18.8936,0,0.01,0.9,0.9,0,0
Body,"スカート5","Skirt_0_11","",1,13,8 13 14 ,1,0.08709636,0.5513034,0.25,-1.421103,11.95422,0.2903372,-25.1446,-63.3751,9.431479E-07,0.01,0.9,0.9,0,0
Body,"スカート6","Skirt_0_13","",1,13,8 13 14 ,1,0.08709636,0.5431966,0.25,-1.421103,11.95422,-0.763446,-22.4489,-117.4226,9.237771E-07,0.01,0.9,0.9,0,0
Body,"スカート7","Skirt_0_15","",1,13,8 13 14 ,1,0.08709636,0.5169066,0.25,-0.58864,11.95422,-1.447332,-14.0469,-161.7021,2.200227E-07,0.01,0.9,0.9,0,0
Body,"スカート8","Skirt_1_1","",1,13,8 13 14 ,1,0.1625661,0.4839616,0.1,0.7233195,10.6692,-1.543101,-14.7112,163.5337,2.206776E-07,0.01,0.9,0.9,0,0
Body,"スカート9","Skirt_1_3","",1,13,8 13 14 ,1,0.1625661,0.5070384,0.1,1.746247,10.6692,-0.7676213,-22.282,120.134,9.226704E-07,0.01,0.9,0.9,0,0
Body,"スカート10","Skirt_1_5","",1,13,8 13 14 ,1,0.1625661,0.5147862,0.1,1.746247,10.6692,0.54225,-25.188,65.8767,0,0.01,0.9,0.9,0,0
